[2023-12-25T16:32:28.193+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: my_bash_dag.execute_command manual__2023-12-25T16:32:27.471005+00:00 [queued]>
[2023-12-25T16:32:28.203+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: my_bash_dag.execute_command manual__2023-12-25T16:32:27.471005+00:00 [queued]>
[2023-12-25T16:32:28.204+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2023-12-25T16:32:28.204+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 1
[2023-12-25T16:32:28.204+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2023-12-25T16:32:28.226+0000] {taskinstance.py:1383} INFO - Executing <Task(BashOperator): execute_command> on 2023-12-25 16:32:27.471005+00:00
[2023-12-25T16:32:28.234+0000] {standard_task_runner.py:55} INFO - Started process 3238 to run task
[2023-12-25T16:32:28.237+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'my_bash_dag', 'execute_command', 'manual__2023-12-25T16:32:27.471005+00:00', '--job-id', '81', '--raw', '--subdir', 'DAGS_FOLDER/my_bash_dag.py', '--cfg-path', '/tmp/tmprr0_mhfy']
[2023-12-25T16:32:28.237+0000] {standard_task_runner.py:83} INFO - Job 81: Subtask execute_command
[2023-12-25T16:32:28.306+0000] {task_command.py:376} INFO - Running <TaskInstance: my_bash_dag.execute_command manual__2023-12-25T16:32:27.471005+00:00 [running]> on host 4d1993f85b22
[2023-12-25T16:32:28.343+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.7/site-packages/***/configuration.py:549: DeprecationWarning: The sensitive_variable_fields option in [admin] has been moved to the sensitive_var_conn_names option in [core] - the old setting has been used, but please update your config.
  option = self._get_option_from_config_file(deprecated_key, deprecated_section, key, kwargs, section)

[2023-12-25T16:32:28.394+0000] {taskinstance.py:1592} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=my_bash_dag
AIRFLOW_CTX_TASK_ID=execute_command
AIRFLOW_CTX_EXECUTION_DATE=2023-12-25T16:32:27.471005+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-12-25T16:32:27.471005+00:00
[2023-12-25T16:32:28.395+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2023-12-25T16:32:28.396+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', '#!/bin/bash\n\n#echo "execute my command"\n\nenv\n\nexit 0']
[2023-12-25T16:32:28.417+0000] {subprocess.py:86} INFO - Output:
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - LD_PRELOAD=/usr/lib/x86_64-linux-gnu/libstdc++.so.6
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - AIRFLOW_CTX_TRY_NUMBER=1
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - HOME=/home/***
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - LANG=C.UTF-8
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - AIRFLOW__ELASTICSEARCH__LOG_ID_TEMPLATE={dag_id}-{task_id}-{run_id}-{map_index}-{try_number}
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - AIRFLOW_HOME=/opt/***
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - CELERY_LOG_REDIRECT_LEVEL=WARNING
[2023-12-25T16:32:28.423+0000] {subprocess.py:93} INFO - GPG_KEY=0D96DF4D4110E5C43FBFB17F2D347EA6AA65421D
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - AIRFLOW_CTX_TASK_ID=execute_command
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - AIRFLOW__DATABASE__SQL_ALCHEMY_CONN=postgresql+psycopg2://***:***@postgres/***
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - AIRFLOW_CTX_DAG_ID=my_bash_dag
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - AIRFLOW__CORE__EXECUTOR=CeleryExecutor
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - COMMIT_SHA=
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - AIRFLOW_PIP_VERSION=22.2.2
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - AIRFLOW__CORE__DAGS_ARE_PAUSED_AT_CREATION=true
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - AIRFLOW_CTX_EXECUTION_DATE=2023-12-25T16:32:27.471005+00:00
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - ADDITIONAL_RUNTIME_APT_COMMAND=
[2023-12-25T16:32:28.424+0000] {subprocess.py:93} INFO - _PIP_ADDITIONAL_REQUIREMENTS=
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - INSTALL_POSTGRES_CLIENT=true
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - SHLVL=1
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - LC_MESSAGES=C.UTF-8
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - RUNTIME_APT_DEPS=
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - PYTHON_PIP_VERSION=22.0.4
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - CELERY_LOG_LEVEL=20
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - RUNTIME_APT_COMMAND=echo
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - _AIRFLOW_PARSING_CONTEXT_TASK_ID=execute_command
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - LD_LIBRARY_PATH=/usr/local/lib
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - LC_CTYPE=C.UTF-8
[2023-12-25T16:32:28.425+0000] {subprocess.py:93} INFO - PYTHON_GET_PIP_SHA256=5aefe6ade911d997af080b315ebcb7f882212d070465df544e1175ac2be519b4
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - _MP_FORK_LOGFILE_=
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - AIRFLOW__CORE__SQL_ALCHEMY_CONN=postgresql+psycopg2://***:***@postgres/***
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - AIRFLOW_INSTALLATION_METHOD=
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - LC_ALL=C.UTF-8
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - PYTHON_GET_PIP_URL=https://github.com/pypa/get-pip/raw/5eaac1050023df1f5c98b173b248c260023f2278/public/get-pip.py
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - INSTALL_MYSQL_CLIENT=true
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - _MP_FORK_LOGLEVEL_=20
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - PATH=/root/bin:/home/***/.local/bin:/usr/local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - AIRFLOW__LOGGING__LOG_FILENAME_TEMPLATE=dag_id={{ ti.dag_id }}/run_id={{ ti.run_id }}/task_id={{ ti.task_id }}/{% if ti.map_index >= 0 %}map_index={{ ti.map_index }}/{% endif %}attempt={{ try_number }}.log
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - PYTHON_BASE_IMAGE=python:3.7-slim-bullseye
[2023-12-25T16:32:28.426+0000] {subprocess.py:93} INFO - AIRFLOW_UID=50000
[2023-12-25T16:32:28.427+0000] {subprocess.py:93} INFO - BUILD_ID=
[2023-12-25T16:32:28.427+0000] {subprocess.py:93} INFO - AIRFLOW__CORE__FERNET_KEY=
[2023-12-25T16:32:28.427+0000] {subprocess.py:93} INFO - DEBIAN_FRONTEND=noninteractive
[2023-12-25T16:32:28.427+0000] {subprocess.py:93} INFO - _=/usr/bin/env
[2023-12-25T16:32:28.427+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2023-12-25T16:32:28.441+0000] {taskinstance.py:1406} INFO - Marking task as SUCCESS. dag_id=my_bash_dag, task_id=execute_command, execution_date=20231225T163227, start_date=20231225T163228, end_date=20231225T163228
[2023-12-25T16:32:28.489+0000] {local_task_job.py:164} INFO - Task exited with return code 0
[2023-12-25T16:32:28.511+0000] {local_task_job.py:273} INFO - 0 downstream tasks scheduled from follow-on schedule check
